reading	kind	characters	surfaces	parts_of_speech	allocations	school_source_count	school_sources	japanese_education_source_count	japanese_education_sources	auto_rule_failures	selected
ちゃめ	normal	3	茶目	名・形動	1	2	新阪本,阪本	1	木幡	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃや	normal	3	茶屋	名	2	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃるめら	normal	5	〔葡〕charamela	名	3	1	新阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃれんじ	normal	5	challenge	名・ス他	3	1	新阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃわかい	normal	5	茶話会	名	3	1	阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃわん	terminal	4	茶×碗	名	1	6	中央,国語研,新阪本,池原,田中,阪本	6	七種対照,初級500語,国語研,工藤,木幡,玉村		auto-selected
ちゃんす	normal	4	chance	名	3	5	中央,児言研,国語研,新阪本,阪本	3	国語研,工藤,木幡		auto-selected
ちゃんちゃんこ	normal	7		名	2	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゃんねる	normal	5	channel	名	1	1	新阪本	2	工藤,木幡	school-source-count-3	unreviewed
ちゃんばら	normal	5		名	2	2	新阪本,阪本	2	工藤,木幡	school-source-count-3	unreviewed
ちゃんぴおん	terminal	6	champion	名	3	2	新阪本,阪本	2	工藤,木幡	school-source-count-3	unreviewed
ちゃーはん	terminal	5	〔中〕×炒飯	名	2	1	新阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅう	normal	3	中,宙,忠,注	名	1,3	5	中央,国語研,新阪本,池原,阪本	5	七種対照,初級500語,国語研,工藤,玉村		auto-selected
ちゅうい	normal	4	注意	名・ス自	1	7	中央,児言研,国語研,新阪本,池原,田中,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
ちゅうおう	normal	5	中央	名	2	5	中央,児言研,国語研,新阪本,阪本	5	七種対照,国語研,工藤,木幡,玉村		auto-selected
ちゅうか	normal	4	中華	名	2	2	新阪本,阪本	1	玉村	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうかい	normal	5	仲介	名・ス他	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
ちゅうかく	normal	5	中核	名	3	2	新阪本,阪本	0		school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2	unreviewed
