reading	kind	characters	auto_rule_failures
あとおし	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あとかた	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あとかたづけ	normal	6	school-source-count-3
あとがき	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あとがま	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あとさき	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あとしまつ	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あとじさり	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あとずさり	normal	5	japanese-education-source-count-3-for-2-characters-otherwise-2
あとつぎ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あとむ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あともどり	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あとりえ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あどばいす	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あどばるーん	terminal	6	school-source-count-3
あなうめ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あなうんす	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あなぐら	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あなどり	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あにうえ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あにき	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あにめ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あによめ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あねうえ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あねったい	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あねもね	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あのよ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あばた	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あばらぼね	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あばらや	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あばれ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あばれもの	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あぴーる	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あふたーけあ	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あふたーさーびす	normal	8	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あふりか	normal	4	school-source-count-3
あぶ	normal	2	japanese-education-source-count-3-for-2-characters-otherwise-2
あぶらあげ	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あぶらあせ	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あぶらえ	normal	4	japanese-education-source-count-3-for-2-characters-otherwise-2
あぶらけ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あぶらげ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あぶらぜみ	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あぶらな	normal	4	school-source-count-3
あぶらむし	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あぶりだし	normal	5	school-source-count-3
あへん	terminal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あほう	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あま	normal	2	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あまあし	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あまえ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あまがいとう	normal	6	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あまがえる	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あまがき	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あまがさ	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あまがっぱ	normal	5	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あまぎ	normal	3	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
あまくち	normal	4	school-source-count-3,japanese-education-source-count-3-for-2-characters-otherwise-2
